[Ax,Ay,Az,Gx,Gy,Gz]
0.002064,-232,18000,-4112,660,199,
1.002052,-228,18076,-4080,641,218,
2.012116,-276,17904,-4080,670,241,
3.011988,-228,18100,-4080,657,201,
4.011360,-2172,11732,-4080,-256,-2392,
5.01-12508,-8560,3052,-4080,14416,1696,
6.025296,-996,17216,-4096,-6027,-176,
7.02-18572,-5036,-6016,-4080,2115,32767,
8.02-9968,-876,-296,-4096,32767,-7256,
9.02-32768,5340,8344,-4080,2412,8165,
10.03-11976,-7860,-904,-4112,-4448,-8346,
11.03-14200,-3992,-7056,-4064,-32768,3134,
12.03-2260,180,14048,-4080,-3042,-833,
13.031572,-176,18128,-4096,689,235,
14.041588,-136,18000,-4064,674,223,
15.041640,-196,18076,-4112,660,221,
16.041524,-120,18320,-4048,649,196,
17.041612,-156,18072,-4080,694,237,
18.051500,-208,18168,-4064,655,226,
19.051528,-100,18260,-4080,685,243,
20.051684,-168,18024,-4064,673,238,
21.051736,-80,18232,-4048,662,225,
22.061652,-88,17732,-4064,662,241,
23.061532,-200,18128,-4064,661,206,
24.061684,-228,18236,-4064,659,228,
25.06-9868,3672,11916,-4048,-2278,-13235,
26.071188,-284,18224,-4048,-3850,3474,
27.07-3664,-3900,14860,-4048,14789,-11044,
28.07876,8272,32767,-4048,-30247,-4735,
29.081416,1932,16336,-4048,-741,2195,
30.081720,-2248,15584,-4096,7588,3310,
31.08-15864,-3832,21320,-4064,32767,9449,
32.081712,2936,-3948,-4064,32767,3038,
33.08-5628,2144,13596,-4064,4741,2714,
34.0926768,328,20256,-4080,8257,-7768,
35.0923608,1248,14380,-4080,8465,-10985,
36.09-2624,3492,32767,-4080,32767,-4675,
37.10-2096,-388,28900,-4096,32767,-2374,
38.10-2524,-9116,-19004,-4080,18187,14359,
39.10-6088,-8032,-1004,-4096,-32768,8156,
40.10-8324,1488,23372,-4096,-2393,9083,
41.11-488,1692,24508,-4096,12363,-20670,
42.11-420,292,14324,-4096,6911,5528,
43.11-940,1032,16996,-4112,2740,-1185,
44.11-1892,-4412,13392,-4144,-534,-1454,
45.12-1540,2820,25040,-4160,20926,-528,
46.122156,-324,18188,-4160,661,228,
47.122108,-280,18096,-4128,669,243,
48.122000,-268,17996,-4128,665,247,
49.13-748,-3288,20088,-4128,5616,5612,
50.13-1612,-664,17368,-4112,-5602,32767,
51.1311972,-5168,19872,-4128,12302,-32768,
52.132032,-344,18020,-4144,669,219,
53.142060,-344,17980,-4112,658,221,
54.141868,-168,18084,-4128,673,249,
