[segundo],[temperatura],[humedad],[persión atmosférica],nombre del equipo
0.15,19.25,52.86,92836.71,CanSatIESGPB
1.19,19.51,52.56,92842.72,CanSatIESGPB
2.20,19.53,52.33,92842.16,CanSatIESGPB
3.21,19.54,52.16,92844.19,CanSatIESGPB
4.21,19.54,52.06,92841.97,CanSatIESGPB
5.22,19.55,51.97,92840.52,CanSatIESGPB
6.22,19.55,51.90,92840.72,CanSatIESGPB
7.23,19.56,51.86,92843.85,CanSatIESGPB
8.24,19.55,51.81,92838.47,CanSatIESGPB
9.24,19.56,51.78,92839.91,CanSatIESGPB
10.25,19.56,51.75,92842.35,CanSatIESGPB
11.26,19.56,51.74,92843.33,CanSatIESGPB
12.26,19.56,51.73,92842.00,CanSatIESGPB
13.27,19.57,51.81,92843.11,CanSatIESGPB
14.28,19.57,52.00,92841.48,CanSatIESGPB
15.28,19.57,51.94,92841.69,CanSatIESGPB
16.29,19.58,51.86,92839.50,CanSatIESGPB
17.30,19.58,51.80,92840.19,CanSatIESGPB
18.30,19.58,51.78,92841.25,CanSatIESGPB
19.31,19.58,51.69,92838.57,CanSatIESGPB
20.32,19.59,51.68,92842.19,CanSatIESGPB
21.32,19.59,51.59,92839.12,CanSatIESGPB
22.33,19.59,51.83,92838.85,CanSatIESGPB
23.34,19.61,54.01,92837.05,CanSatIESGPB
24.34,19.61,54.38,92842.00,CanSatIESGPB
25.35,19.61,54.44,92839.95,CanSatIESGPB
26.36,19.62,54.82,92838.36,CanSatIESGPB
27.36,19.63,56.22,92840.22,CanSatIESGPB
28.37,19.64,57.89,92837.24,CanSatIESGPB
29.38,19.63,58.04,92839.71,CanSatIESGPB
30.38,19.64,57.28,92840.99,CanSatIESGPB
31.39,19.64,56.81,92840.99,CanSatIESGPB
32.40,19.65,56.44,92839.50,CanSatIESGPB
33.40,19.65,55.89,92840.56,CanSatIESGPB
34.41,19.65,55.00,92839.71,CanSatIESGPB
35.42,19.66,55.47,92839.83,CanSatIESGPB
36.42,19.67,57.49,92840.11,CanSatIESGPB
37.43,19.67,58.30,92837.89,CanSatIESGPB
38.44,19.66,57.73,92839.39,CanSatIESGPB
39.44,19.66,56.67,92839.90,CanSatIESGPB
40.45,19.67,55.58,92839.80,CanSatIESGPB
41.46,19.67,54.92,92839.94,CanSatIESGPB
42.46,19.67,54.35,92840.45,CanSatIESGPB
43.47,19.66,53.82,92840.07,CanSatIESGPB
44.47,19.66,53.40,92836.46,CanSatIESGPB
45.48,19.67,53.09,92837.42,CanSatIESGPB
46.49,19.67,52.86,92840.28,CanSatIESGPB
47.50,19.67,52.64,92838.28,CanSatIESGPB
48.50,19.67,52.45,92839.64,CanSatIESGPB
49.51,19.67,52.31,92835.85,CanSatIESGPB
50.51,19.67,52.21,92837.42,CanSatIESGPB
51.52,19.67,52.31,92834.35,CanSatIESGPB
52.53,19.68,53.17,92836.82,CanSatIESGPB
53.53,19.67,53.66,92834.22,CanSatIESGPB
54.54,19.68,53.24,92834.77,CanSatIESGPB
55.55,19.68,54.25,92837.58,CanSatIESGPB
56.55,19.68,55.36,92840.14,CanSatIESGPB
57.56,19.68,55.69,92837.89,CanSatIESGPB
58.57,19.69,55.97,92838.47,CanSatIESGPB
59.57,19.68,55.43,92839.08,CanSatIESGPB
60.58,19.68,54.77,92835.32,CanSatIESGPB
61.59,19.68,54.81,92837.24,CanSatIESGPB
62.59,19.69,55.61,92838.00,CanSatIESGPB
63.60,19.69,55.71,92837.83,CanSatIESGPB
64.61,19.69,54.66,92838.64,CanSatIESGPB
65.61,19.68,53.88,92836.89,CanSatIESGPB
66.62,19.68,53.27,92837.55,CanSatIESGPB
67.63,19.69,52.88,92837.83,CanSatIESGPB
68.63,19.69,52.58,92837.78,CanSatIESGPB
69.64,19.68,52.33,92836.00,CanSatIESGPB
70.65,19.68,52.16,92836.52,CanSatIESGPB
71.65,19.69,52.04,92836.60,CanSatIESGPB
72.66,19.69,51.95,92838.82,CanSatIESGPB
73.67,19.68,51.82,92835.83,CanSatIESGPB
74.67,19.68,51.75,92839.41,CanSatIESGPB
75.68,19.69,51.67,92838.99,CanSatIESGPB
76.69,19.68,51.59,92834.80,CanSatIESGPB
77.69,19.68,51.53,92836.35,CanSatIESGPB
78.70,19.68,51.49,92837.75,CanSatIESGPB
79.71,19.68,51.44,92836.35,CanSatIESGPB
80.71,19.67,51.45,92835.58,CanSatIESGPB
